policyNo,certNo,customerId
9005,00428087,7270455
9005,00429739,436927
9005,00430034,9750985
9005,00430439,2841920
9005,00430544,9846437
9005,00430718,8365899
9005,00431017,3823187
9005,00431028,7094297
9005,00469339,4224928
9005,00469686,9965433
9005,00470689,1932054
9005,00470708,7473215
9005,00471234,2841382
9005,00471577,3132441
9005,00472814,9669277
9005,00472882,1228380
9005,00472967,1532980
9005,00472990,2516380
9005,00473119,1717886
9005,00473240,908685
9005,00473540,1791811
9005,00474529,4096041
9005,00475484,10255900
9005,00475650,10076723
9005,00475658,8778566
9005,00475833,9703328
9005,00476172,696445
9005,00476892,1806919
9005,00476975,6191881
9005,00477125,3063681
9005,00477332,7791533
9005,00477926,2773518
9005,00478107,2944592
9005,00478133,3692310
9005,00478358,3095488
9005,00478806,8731194
9005,00478840,1942433
9005,00478852,9309578
9005,00478866,1256107
9005,00478868,143920
9005,00480059,274788
9005,00480441,3322651
9005,00480442,9540425
9005,00480497,3287610
9005,00480569,9915575
9005,00482151,1518858
9005,00482388,3541594
9005,00482456,9021319
9005,00482833,5772910
9005,00483039,631380
9005,00483360,1099454
9005,00483379,563683
9005,00483908,4147640
9005,00484190,1664323
9005,00484191,1030410
9005,00484193,1782521
9005,00484198,9996395
9005,00484223,1720950
9005,00484276,9429951
9005,00484323,1187594
9005,00484329,3123340
9005,00484735,145158
9005,00484737,7833826
9005,00484847,2846301
9005,00485018,3666824
9005,00485173,2796728
9005,00485944,5853484
9005,00486075,393096
9005,00486711,1012839
9005,00486738,5452089
9005,00486804,141443
9005,00486859,2819573
9005,00486952,1996515
9005,00487136,3138805
9005,00487153,6005813
9005,00487163,1193275
9005,00487250,10498841
9005,00487260,1454554
9005,00487273,1747797
9005,00487311,850978
9005,00487356,715934
9005,02160933,3814016
9005,02160934,4272521
9005,02160935,6702514
9005,02160936,5466603
9005,02160976,7640563
9005,02160984,3228759
9005,02160994,4348338
9005,02161000,7988429
9005,03788965,394181
9005,03789155,10328400
9005,03789260,8454426
9005,03789608,8988507
9005,03789777,838117
9005,03789937,886641
9005,03790172,6887916
9005,03790376,3647866
9005,03791019,8341727
9005,03791136,2797695
9005,03791160,3903122
9005,03791179,3018611
9005,03791478,8584585
9005,03791526,6224258
9005,03791630,6725582
9005,03791664,562874
9005,03792120,6643490
9005,03792325,9179138
9005,03792589,3926471
9005,03792614,6187196
9005,03792683,5413094
9005,03792847,8539291
9005,03792879,9447076
9005,03793103,7258168
9005,03793107,9952681
9005,03793130,4405637
9005,03793161,3923918
9005,03793212,6604771
9005,03793258,6654814
9005,03793292,2797354
9005,03793326,9912301
9005,03793348,3916893
9005,03793446,10117525
9005,03793601,5162334
9005,03793708,3326528
9005,03793730,10112553
9005,03793860,9944521
9005,03794985,5500607
9005,03794989,2262124
9005,03795034,5046930
9005,03795317,4242911
9005,03795326,9459035
9005,03795401,7377561
9005,03795412,4101217
9005,03795623,10420259
9005,03795771,3902145
9005,03795783,8704959
9005,03795967,1562017
9005,03796866,10100290
9005,03796888,1792530
9005,03796889,1562017
9005,03796970,8084218
9005,03796990,3829676
9005,03797013,7331391
9005,03797034,3296041
9005,03797120,3742804
9005,03797121,4268825
9005,03797124,6977004
9005,03797231,8488599
9005,03797266,4779495
9005,03797405,3548075
9005,03797418,9504788
9005,03797502,8097696
9005,03797577,9925554
9005,03797640,4779495
9005,03797790,8407963
9005,03798008,9956841
9005,03798173,9599723
9005,03798468,6170629
9005,03798496,9681517
9005,03798611,8488599
9005,03798637,7516625
9005,03798705,6746048
9005,03798737,7118885
9005,03798932,9099384
9005,03798961,117313
9005,03799203,2455562
9005,03799383,4615196
9005,03799502,9958152
9005,03799964,2650463
9005,03800451,5449079
9005,03800476,6035117
9005,03800575,8687638
9005,03800603,3518840
9005,03800692,8886570
9005,03800793,3412917
9005,03800828,714564
9005,03800969,10040509
9005,03801079,9893799
9005,03801284,5850514
9005,03801431,895639
9005,03801548,1745997
9005,03801551,6645769
9005,03801674,3958978
9005,03801695,7792968
9005,03801721,4829915
9005,03867366,9868310
9005,03867370,8999074
9005,03867800,4147619
9005,03868000,8488599
9005,03868250,4225140
9005,03868301,9424301
9005,03868422,139033
9005,03869220,6680532
9005,03869381,3693181
9005,03869410,5108632
9005,03870078,3078100
9005,03870412,1800370
9005,03870621,615982
9005,03870931,1474364
9005,03870946,7899070
9005,03871308,1900532
9005,03871607,3291401
9005,03871869,1993870
9005,03872219,5695614
9005,03872390,3756751
9005,03872451,9599723
9005,03872735,2851764
9005,03872789,3675391
9005,03872878,2720706
9005,03874094,7961605
9005,03874386,3084639
9005,03874387,2560439
9005,03874951,5899103
9005,03874964,7516625
9005,03875032,7213660
9005,03875113,5007314
9005,03875160,4144063
9005,03875235,10462844
9005,03875484,8344748
9005,03876169,3126468
9005,03876430,1163614
9005,03877053,930554
9005,03877068,3076789
9005,03877122,3106324
9005,03877414,4910959
9005,03877528,8279201
9005,03877612,1881638
9005,03877750,6438236
9005,03878515,9544854
9005,03878570,122562
9005,03878692,6861004
9005,03878858,10302870
9005,03879413,111613
9005,03879577,1118158
9005,03880039,1328974
9005,03880140,1427347
9005,03880290,1191439
9005,03880613,2625421
9005,03880639,2879672
9005,03881305,9878769
9005,03881411,8806576
9005,03881421,84398
9005,03881559,7060726
9005,03881560,2626171
9005,03881561,4393341
9005,03881563,3214379
9005,03881564,3315790
9005,03882025,2897251
9005,03882160,2915155
9005,03882168,306858
9005,03882257,182782
9005,03882320,5480802
9005,03882384,10441853
9005,03882472,4456084
9005,03882475,3200605
9005,03882588,6667336
9005,03882760,8497135
9005,03882789,2839997
9005,03882821,183778
9005,03882821,183778
9005,03882821,183778
9005,03882989,7874940
9005,03883341,9607231
9005,03883352,899979
9005,03883538,987896
9005,03883695,3490008
9005,03883914,2592113
9005,03884156,1591939
9005,03884198,3092237
9005,03884384,3736426
9005,03884465,1083262
9005,03884517,4751412
9005,03884615,5292501
9005,03884884,5978727
9005,03885288,9223019
9005,03885298,3091230
9005,03885305,5136753
9005,03885424,2108870
9005,03885440,10449452
9005,03885523,8326091
9005,03885895,890319
9005,03886013,9660761
9005,03886126,9534990
9005,03886127,3082249
9005,03886347,10420029
9005,03886755,852420
9005,03886840,505290
9005,03886993,206260
9005,03887053,3160005
9005,03887526,7466387
9005,03887533,6215329
9005,03887865,9807392
9005,03888194,2327305
9005,03888413,6673287
9005,03888669,887282
9005,03888918,9889960
9005,03889086,1558019
9005,03889370,6603974
9005,03889612,1249257
9005,03890292,1484993
9005,03890469,8788431
9005,03890764,8404596
9005,03890819,117875
9005,03890908,5619255
9005,03890984,9932984
9005,03891380,2111112
9005,03891392,328627
9005,03891451,10351477
9005,03892411,1532017
9005,03892581,1848623
9005,03892996,3048817
9005,03893015,1009992
9005,03893106,428846
9005,03893155,5014375
9005,03893330,1036053
9005,03893500,2461233
9005,03893684,2784307
9005,03893809,9716884
9005,03893933,47618
9005,03893962,4657478
9005,03893969,719557
9005,03894424,1116980
9005,03894579,7388750
