Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
gettoken,1,90,90,90,0.00,0.000%,11.11111,6.32,5.71,582.0
CAL09-3 - calculateBenefit-Contact [DDCX],962,729,83,9823,817.96,0.000%,.53583,1.26,0.45,2404.6
CAL12-2 cancel-extend [DDCX],977,674,73,33650,1705.64,0.000%,.54376,0.72,0.48,1358.2
CAL10-3 extend Loan [DDCX]],1061,381,63,14261,1122.95,0.000%,.59049,0.57,0.48,993.2
CAL09-4 - calculateBenefit-Mature [DDCX],1075,336,57,6108,375.12,0.000%,.59855,0.80,0.49,1369.4
CAL09-2 - calculateBenefit-CashReceived [DDCX],1019,517,151,2111,316.73,0.000%,.56788,0.67,0.48,1203.8
CAL08 - calculatePremium [DDCX],858,1183,101,30972,2340.92,0.117%,.47754,0.47,0.41,1013.3
BCP-DDCX-01 - payChannelSelect,1106,240,63,1503,190.04,0.000%,.61648,0.45,0.43,745.0
CAL09-1 - calculateBenefit-CashNotReceived [DDCX],1016,529,84,3935,412.15,0.000%,.56607,0.56,0.48,1011.8
BCP-DDCX-03 -  ค้นหาประวัติการชำระเบี้ยประกันภัยทุกงวดชำระจนถึงปัจจุบัน,1030,480,79,5286,511.24,0.000%,.57390,0.89,0.40,1594.4
GetMatureRate-01,963,723,121,4556,571.63,0.000%,.53649,0.30,0.30,563.7
CAL10-2 requestLoan [DDCX],825,1359,67,17491,1926.82,0.000%,.45852,0.54,0.40,1195.0
CAL12-1 surender [DDCX],789,1546,83,25555,2135.37,0.000%,.43956,0.70,0.39,1624.5
POL19   policyPremiumCL,696,157,107,1917,102.25,0.000%,.38814,0.38,0.26,994.4
POL05 - policyLoan [DDCX],688,216,101,1608,157.52,0.000%,.38340,0.32,0.32,844.2
POL15-certfamily,679,284,112,1233,168.83,0.000%,.37836,0.29,0.27,781.6
POL09 - policyDisplayUL [DDCX],1053,114,58,613,75.03,0.000%,.58707,0.61,0.49,1063.0
PF001-policyBenefit,698,137,94,1662,86.91,0.000%,.38959,0.31,0.30,805.3
POL03 - policyPrmeium [DDCX],983,475,67,2895,391.28,0.000%,.54804,0.89,0.45,1658.5
CAL10-1 returnLoan [DDCX],581,3186,107,42361,6403.16,2.065%,.32309,0.33,0.28,1037.9
BCP-DDCX-02 - PaymentHistory by Policy,555,3480,62,34334,4775.10,0.541%,.30842,1.83,0.21,6090.3
FindRenewalDate,676,302,194,1748,150.25,0.000%,.37736,0.17,0.20,455.0
POL02 - policyDisplay [DDCX],708,2608,103,60215,4373.79,0.141%,.39472,1.40,0.32,3642.1
POL_DB_05_GetRiderDetial [DDCX],1026,245,57,2737,177.67,0.292%,.57205,1.04,0.43,1858.2
CAL12-3 cancel-paid up [DDCX],829,1328,131,43856,4357.64,1.327%,.46163,0.29,0.34,650.6
TOTAL,20854,783,57,60215,2157.32,0.149%,11.56133,15.70,9.03,1390.5
