Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
gettoken,1,98,98,98,0.00,0.000%,10.20408,5.80,5.24,582.0
CAL09-1 - calculateBenefit-CashNotReceived [DDCX],2249,191,70,1520,95.66,0.000%,.62524,0.62,0.53,1018.0
CAL09-4 - calculateBenefit-Mature [DDCX],2272,159,66,5257,324.12,0.000%,.63176,0.85,0.52,1371.9
CAL12-1 surender [DDCX],1771,1061,86,29874,2171.47,0.000%,.49100,0.79,0.43,1637.4
BCP-DDCX-03 ,2241,202,74,3295,159.28,0.000%,.62334,0.96,0.44,1582.7
CAL09-3 - calculateBenefit-Contact [DDCX],2190,277,71,3180,287.75,0.000%,.60902,1.41,0.52,2372.7
CAL08 - calculatePremium [DDCX],1870,839,76,55353,2143.76,0.000%,.52018,0.51,0.45,1011.7
CAL10-2 requestLoan [DDCX],2025,546,64,10738,819.91,0.000%,.56289,0.66,0.49,1196.5
CAL10-3 extend Loan [DDCX]],2282,145,59,7748,388.56,0.000%,.63451,0.62,0.51,993.2
BCP-DDCX-01 - payChannelSelect,2311,105,63,497,36.34,0.000%,.64263,0.47,0.44,745.4
CAL09-2 - calculateBenefit-CashReceived [DDCX],2238,206,127,1732,79.17,0.000%,.62228,0.74,0.53,1210.4
CAL12-2 cancel-extend [DDCX],2080,450,64,30643,1420.98,0.000%,.57859,0.78,0.51,1371.7
CAL10-1 returnLoan [DDCX],1537,1674,116,54870,5985.49,0.000%,.42736,0.44,0.37,1046.5
BCP-DDCX-02 - PaymentHistory by Policy,1517,1736,129,35986,2472.84,0.000%,.42187,2.53,0.29,6149.6
GetMatureRate-01,2174,301,118,2162,192.06,0.000%,.60446,0.33,0.34,559.6
POL09 - policyDisplayUL [DDCX],2121,78,56,983,38.00,0.000%,.59045,0.61,0.50,1063.0
POL05 - policyLoan [DDCX],1402,120,95,338,24.99,0.000%,.39041,0.32,0.33,844.2
POL03 - policyPrmeium [DDCX],2068,212,62,1463,112.78,0.000%,.57529,0.93,0.48,1653.1
POL19   policyPremiumCL,1394,149,106,958,47.62,0.000%,.38820,0.38,0.26,1009.7
POL15-certfamily,1396,147,105,735,53.26,0.000%,.38837,0.29,0.27,776.4
PF001-policyBenefit,1404,117,83,627,25.84,0.000%,.39067,0.31,0.30,820.3
POL_DB_05_GetRiderDetial [DDCX],2073,198,76,1041,77.12,0.000%,.57681,1.11,0.44,1965.7
POL02 - policyDisplay [DDCX],1626,1631,235,60683,3994.28,0.185%,.45225,1.63,0.37,3697.2
FindRenewalDate,1376,220,186,956,36.04,0.000%,.38295,0.17,0.20,455.0
CAL12-3 cancel-paid up [DDCX],1883,833,116,44778,4293.34,1.328%,.51908,0.35,0.39,695.8
TOTAL,45501,451,56,60683,1870.53,0.062%,12.52807,17.64,9.79,1441.6
