Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
gettoken,1,77,77,77,0.00,0.000%,12.98701,7.38,6.67,582.0
CAL10-3 extend Loan [DDCX]],2245,197,61,8813,526.11,0.000%,.62415,0.60,0.50,992.5
CAL10-2 requestLoan [DDCX],1941,701,67,9164,944.86,0.000%,.53946,0.63,0.47,1196.4
CAL12-2 cancel-extend [DDCX],2101,417,65,15436,1017.47,0.000%,.58399,0.78,0.51,1364.5
CAL09-4 - calculateBenefit-Mature [DDCX],2258,178,53,9463,345.60,0.000%,.62776,0.84,0.51,1369.5
CAL12-1 surender [DDCX],1800,991,67,23150,1749.10,0.000%,.50012,0.80,0.44,1636.2
BCP-DDCX-01 - payChannelSelect,2294,129,60,1693,72.59,0.000%,.63788,0.46,0.44,745.0
GetMatureRate-01,2135,361,115,2300,231.75,0.000%,.59371,0.32,0.33,558.3
CAL09-3 - calculateBenefit-Contact [DDCX],2145,346,72,4919,392.51,0.000%,.59654,1.41,0.51,2426.1
CAL08 - calculatePremium [DDCX],1879,820,76,26786,1750.43,0.000%,.52266,0.51,0.45,1008.8
CAL09-1 - calculateBenefit-CashNotReceived [DDCX],2214,241,74,2173,151.53,0.000%,.61576,0.62,0.52,1033.7
CAL09-2 - calculateBenefit-CashReceived [DDCX],2208,248,112,2404,121.74,0.000%,.61435,0.74,0.52,1225.7
BCP-DDCX-03 ,2222,230,74,2347,180.80,0.000%,.61773,0.96,0.43,1585.0
CAL10-1 returnLoan [DDCX],1469,1900,93,42552,5512.40,1.430%,.40709,0.41,0.35,1040.5
BCP-DDCX-02 - PaymentHistory by Policy,1434,2013,63,40620,2923.33,0.070%,.39846,2.42,0.27,6218.0
POL09 - policyDisplayUL [DDCX],2118,83,56,1405,49.67,0.000%,.58984,0.61,0.50,1063.0
POL05 - policyLoan [DDCX],1398,136,97,618,45.38,0.000%,.38918,0.32,0.33,844.3
POL15-certfamily,1389,168,106,1190,78.04,0.000%,.38681,0.29,0.27,777.4
PF001-policyBenefit,1402,126,89,487,24.65,0.000%,.39001,0.31,0.30,803.4
POL03 - policyPrmeium [DDCX],2055,241,63,1713,149.54,0.000%,.57209,0.92,0.47,1651.4
POL19   policyPremiumCL,1394,153,104,3857,143.85,0.000%,.38795,0.38,0.26,1009.8
POL_DB_05_GetRiderDetial [DDCX],2064,221,65,2302,106.96,0.145%,.57419,1.07,0.43,1913.6
POL02 - policyDisplay [DDCX],1611,1690,53,60639,3894.23,1.241%,.44828,1.59,0.37,3626.5
FindRenewalDate,1373,231,189,2662,84.47,0.000%,.38210,0.17,0.20,455.0
CAL12-3 cancel-paid up [DDCX],1846,889,122,43837,4307.65,1.246%,.51342,0.32,0.38,641.2
TOTAL,44996,491,53,60639,1792.56,0.151%,12.45457,17.42,9.74,1432.5
