Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
token Authorization Bearer,1,31,31,31,0.00,0.000%,32.25806,18.40,13.10,584.0
10_OL_POL_DB_04_GetLoanPremum,31590,2269,187,49955,3828.06,0.000%,4.38667,4.40,2.95,1027.4
CSA-07 (LoginCsa),39935,1449,119,10065,305.89,0.000%,5.54611,4.64,4.50,857.5
CSA-08 (SetPincode),39928,330,28,8821,182.22,0.000%,5.54676,3.37,3.85,621.3
OL_CSA-07 (LoginCsa),14243,1479,857,7041,308.96,0.000%,1.97804,1.65,1.60,852.9
01_Credit Life_CSA-09 (LoginPIN),7455,367,63,5583,153.77,0.000%,1.03593,0.63,0.72,621.0
OL_CSA-08 (SetPincode),14237,329,47,8750,187.42,0.000%,1.97817,1.20,1.27,621.0
01_Consumer Finance_CSA-09 (LoginPIN),1855,365,101,1133,142.99,0.000%,.25800,0.16,0.18,621.0
01_Unitlink_CSA-09 (LoginPIN),8090,368,51,6362,182.98,0.000%,1.12422,0.68,0.78,621.0
01_Universal Life_CSA-09 (LoginPIN),22526,370,87,8635,186.17,0.000%,3.13030,1.90,2.16,621.5
01_OL_CSA-09 (LoginPIN),14237,384,83,6178,171.53,0.000%,1.97839,1.20,1.26,621.0
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,7455,3687,850,20818,1932.41,0.000%,1.03568,1.80,0.60,1783.0
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],7453,261,24,5340,122.14,0.389%,1.03587,1.19,0.60,1174.2
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,1855,3306,802,44317,2502.30,0.162%,.25795,0.48,0.15,1914.1
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,8089,6262,829,44744,5655.01,0.235%,1.12396,4.37,0.65,3983.9
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,7452,1596,15,11677,1042.99,0.000%,1.03569,1.34,0.65,1324.4
02_OL_POL_DB_01_SearchPolicyByCustomerId,14237,3283,667,44592,2851.50,0.119%,1.97809,3.87,1.14,2004.7
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,22519,5217,77,44936,5338.05,0.608%,3.12833,9.88,1.81,3235.3
05_Credit Life_POL_DB_03_NextPayPeriod,7449,226,3,8471,157.32,0.000%,1.03546,1.19,0.85,1173.3
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],8083,261,25,1406,108.09,0.396%,1.12357,1.29,0.65,1179.8
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],1855,258,30,1241,103.82,0.216%,.25800,0.30,0.15,1175.8
03_MEMBER01 [SearchProfileByCustomerId],14231,264,23,5459,122.99,0.358%,1.97813,2.27,1.15,1177.0
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],22499,262,4,6101,125.81,0.360%,3.12756,3.60,1.82,1177.2
06_Credit Life_POL_DB_05_GetRiderDetial,7448,332,11,8909,163.71,0.000%,1.03544,1.69,0.70,1670.1
07_Credit Life_POL_DB_03_NextPayPeriod,7448,221,4,1224,106.85,0.000%,1.03543,1.19,0.85,1173.3
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,1855,956,6,10044,773.24,0.000%,.25801,0.32,0.16,1268.8
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,8082,1467,19,11624,850.87,0.000%,1.12340,1.61,0.68,1465.9
04_OL_POL_DB_02_01_PolicyDetailsOL,14230,1221,15,11694,756.65,0.000%,1.97792,2.62,1.18,1354.2
05_Consumer Finance_POL_DB_03_NextPayPeriod,1855,242,7,6181,174.91,0.000%,.25804,0.31,0.21,1244.2
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,22498,1179,10,9899,753.32,0.000%,3.12729,4.08,1.86,1336.2
05_Unitlink_POL_DB_03_NextPayPeriod,8081,371,126,4325,136.75,0.000%,1.12357,1.32,0.91,1205.8
05_OL_POL_DB_03_NextPayPeriod,14229,453,107,4768,164.68,0.000%,1.97817,2.63,1.60,1358.9
06_Consumer Finance_POL_DB_05_GetRiderDetial,1855,425,6,1376,157.21,0.000%,.25802,0.60,0.17,2385.0
06_Unitlink_POL_DB_05_GetRiderDetial,8081,348,6,10212,370.05,0.000%,1.12356,1.29,0.75,1177.9
05_Universal Life_POL_DB_03_NextPayPeriod,22491,403,114,5568,137.91,0.004%,3.12697,3.66,2.52,1198.4
07_Consumer Finance_POL_DB_03_NextPayPeriod,1855,241,6,826,110.45,0.000%,.25803,0.31,0.21,1244.2
06_OL_POL_DB_05_GetRiderDetial,14228,406,7,8635,220.16,0.000%,1.97825,4.23,1.33,2187.8
06_Universal Life_POL_DB_05_GetRiderDetial,22490,299,6,8432,244.27,0.000%,3.12722,3.30,2.08,1081.8
07_Unitlink_POL_DB_03_NextPayPeriod,8080,371,113,8583,162.43,0.000%,1.12357,1.32,0.91,1205.8
08_Credit Life_POL_DB_11_GetPaymentHistory,7447,878,11,7884,644.06,0.000%,1.03527,0.85,0.71,837.0
07_OL_POL_DB_03_NextPayPeriod,14226,411,110,8800,149.56,0.000%,1.97806,2.62,1.60,1358.9
07_Universal Life_POL_DB_03_NextPayPeriod,22487,403,145,8703,173.73,0.000%,3.12680,3.66,2.52,1198.4
09_Credit Life_POL_DB_10_GetBeneficiaryInfo,7446,232,4,1140,110.25,1.504%,1.03561,1.00,0.71,989.7
08_Universal Life_POL_DB_11_GetPaymentHistory,22486,5217,48,43895,6079.31,0.196%,3.12564,6.90,2.10,2261.8
09_Universal Life_POL_DB_04_GetLoanPremum,22478,1933,113,45989,3733.76,0.053%,3.12273,2.66,2.09,871.2
08_Unitlink_POL_DB_11_GetPaymentHistory,8080,12655,118,44998,10363.47,2.228%,1.12311,4.89,0.76,4461.5
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,22475,1301,14,9814,851.95,0.000%,3.12531,3.07,2.10,1006.8
08_OL_POL_DB_11_GetPaymentHistory,14226,11097,1241,44210,7768.30,1.097%,1.97742,7.40,1.33,3830.9
11_Universal Life_POL_DB_12_GetCoverageOverview,22472,706,21,9139,293.70,0.000%,3.12637,2.39,1.80,782.0
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,8069,1304,15,11804,838.52,0.000%,1.12237,1.12,0.76,1021.5
