rpno,policyno,paydate,mode,type
C06957280101,22021341,2554,1,UL
C06957270101,22018868,2554,1,UL
C06964470101,22025651,2554,1,UL
C07049460101,22026635,2554,1,UL
C07128510101,22029229,2554,1,UL
C07301340101,22033581,2554,1,UL
C08392060101,22059099,2554,1,UL
C08407020101,22059478,2554,1,UL
C08492500101,22061231,2554,1,UL
C08492530101,22061234,2554,1,UL
C08493010101,22061249,2554,1,UL
C08493250101,22061255,2554,1,UL
C09017430101,22071656,2554,1,UL
C09139980101,22074090,2554,1,UL
C10896160101,22113741,2555,1,UL
C12537200101,22147739,2555,1,UL
C12685910101,22151262,2555,1,UL
550026003,22021341,2555,1,UL
550029150,22018868,2555,1,UL
550032291,22025651,2555,1,UL
550032294,22026635,2555,1,UL
550032660,22029229,2555,1,UL
550034569,22033581,2555,1,UL
550039625,22061255,2555,1,UL
C15459180101,22209317,2555,1,UL
C15639620101,22214734,2555,1,UL
550040905,22059478,2555,1,UL
532550074320,22059099,2555,1,UL
550042194,22061234,2555,1,UL
550042726,22061231,2555,1,UL
C15926210101,22219381,2555,1,UL
935560001356,22061249,2555,1,UL
932550094902,22074090,2555,1,UL
550044418,22071656,2555,1,UL
560023112,22021341,2556,1,UL
998560049896,22151262,2556,1,UL
560026666,22018868,2556,1,UL
560029390,22029229,2556,1,UL
560031391,22033581,2556,1,UL
560034506,22061234,2556,1,UL
560037478,22061255,2556,1,UL
560038480,22219381,2556,1,UL
560039210,22026635,2556,1,UL
560039213,22025651,2556,1,UL
560039479,22061249,2556,1,UL
932560104724,22074090,2556,1,UL
560040753,22071656,2556,1,UL
570000137,22061231,2557,1,UL
C23435210101,22381792,2557,1,UL
C26107720101,22451055,2557,1,UL
C26233620101,22456199,2557,1,UL
532570050507,22059099,2557,1,UL
570022190,22018868,2557,1,UL
C44157590101,22466975,2557,1,UL
570023180,22021341,2557,1,UL
998570047567,22151262,2557,1,UL
C27495350101,22491963,2557,1,UL
C27495390101,22491964,2557,1,UL
570029144,22029229,2557,1,UL
C28134150101,22507783,2557,1,UL
570031157,22033581,2557,1,UL
570031599,22061234,2557,1,UL
570038809,22061231,2557,1,UL
570038888,22061255,2557,1,UL
570039692,22026635,2557,1,UL
570039693,22025651,2557,1,UL
817570014175,22219381,2557,1,UL
936580001720,22074090,2557,1,UL
570041101,22061249,2557,1,UL
570041113,22071656,2557,1,UL
C29816510101,22542117,2557,1,UL
C30383840101,22554614,2558,1,UL
994570138385,22381792,2558,1,UL
998580040037,22451055,2558,1,UL
815580014266,22466975,2558,1,UL
580021977,22021341,2558,1,UL
998580052948,22151262,2558,1,UL
580023661,22018868,2558,1,UL
532580048565,22059099,2558,1,UL
580028366,22029229,2558,1,UL
580030200,22033581,2558,1,UL
580034891,22061255,2558,1,UL
C35169740101,22654155,2558,1,UL
580035842,22061249,2558,1,UL
C35278880101,22656889,2558,1,UL
C35417180101,22660206,2558,1,UL
580038052,22061231,2558,1,UL
838580000601,22025651,2558,1,UL
838580000602,22026635,2558,1,UL
931580105643,22061234,2558,1,UL
936590002778,22074090,2558,1,UL
580039543,22071656,2558,1,UL
817580017170,22219381,2558,1,UL
994580152304,22381792,2559,1,UL
C37826100101,22711770,2559,1,UL
C38118360101,22717792,2559,1,UL
C38532020101,22726095,2559,1,UL
590020317,22021341,2559,1,UL
998590062660,22451055,2559,1,UL
590020987,22018868,2559,1,UL
C39210880101,22741231,2559,1,UL
276590016052,45147504,2559,1,WHL
590022982,22466975,2559,1,UL
998590102932,22151262,2559,1,UL
C39708730101,22752466,2559,1,UL
590024221,22029229,2559,1,UL
C39921100101,22757562,2559,1,UL
590028547,22033581,2559,1,UL
7590259064,22061234,2559,1,UL
994590145090,22660206,2559,1,UL
590035276,22061255,2559,1,UL
590036306,22219381,2559,1,UL
