Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
token Authorization Bearer,1,26,26,26,0.00,0.000%,38.46154,21.94,15.62,584.0
OL_CSA-07 (LoginCsa),6299,886,671,7318,372.32,0.000%,1.74902,1.42,1.40,833.0
CSA-07 (LoginCsa),10436,887,56,7739,329.75,0.000%,2.89802,2.36,2.32,833.8
CSA-08 (SetPincode),10428,82,12,6123,173.77,0.000%,2.89666,1.72,1.98,609.0
OL_CSA-08 (SetPincode),6289,89,34,6453,182.94,0.000%,1.74732,1.04,1.10,609.0
CUS-01_SearchByCustomerName,541,9299,1673,18270,4809.92,0.000%,.15004,2.47,0.12,16876.1
01_Unitlink_CSA-09 (LoginPIN),233,128,43,789,109.20,0.000%,.86850,0.52,0.59,609.0
01_OL_CSA-09 (LoginPIN),6287,121,40,5167,183.62,0.000%,1.74740,1.04,1.10,609.0
01_Universal Life_CSA-09 (LoginPIN),7490,125,20,5795,196.89,0.000%,2.08230,1.24,1.42,609.1
01_Credit Life_CSA-09 (LoginPIN),925,139,44,3856,225.15,0.000%,.36666,0.22,0.25,609.0
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,7487,1130,4,18418,1043.32,0.053%,2.08107,7.44,1.17,3661.1
02_OL_POL_DB_01_SearchPolicyByCustomerId,6285,891,570,14868,677.98,0.000%,1.74644,3.55,0.98,2082.4
CUS-02_SearchCustomerByCitizenId,538,653,10,1933,148.01,0.000%,.14989,0.27,0.11,1832.6
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],7484,127,3,6174,169.73,0.000%,2.08132,2.43,1.18,1196.2
03_MEMBER01 [SearchProfileByCustomerId],6280,95,37,6445,207.03,0.000%,1.74611,2.04,0.99,1193.9
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,7482,96,6,12750,328.94,0.000%,2.08096,2.76,1.21,1357.1
04_OL_POL_DB_02_01_PolicyDetailsOL,6275,100,7,10032,368.69,0.000%,1.74501,2.30,1.02,1351.3
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,233,1323,619,6733,945.60,0.000%,.87098,3.64,0.49,4281.4
05_Universal Life_POL_DB_03_NextPayPeriod,7480,416,236,11493,226.07,0.000%,2.08084,2.46,1.70,1210.4
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],233,145,42,583,108.46,0.000%,.86765,1.02,0.49,1198.5
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,233,144,8,1179,209.22,0.000%,.86762,1.24,0.52,1468.3
06_Universal Life_POL_DB_05_GetRiderDetial,7478,159,20,12738,335.37,0.000%,2.08029,2.17,1.36,1069.9
05_Unitlink_POL_DB_03_NextPayPeriod,233,389,251,563,53.18,0.000%,.86092,1.02,0.71,1216.6
07_Universal Life_POL_DB_03_NextPayPeriod,7477,421,232,11309,282.32,0.000%,2.07983,2.46,1.70,1210.4
08_Universal Life_POL_DB_11_GetPaymentHistory,7472,743,68,13091,1069.11,0.000%,2.07883,5.63,1.36,2774.7
CUS-03_SearchByPartyId,538,637,558,1326,98.63,0.000%,.14968,0.27,0.10,1858.2
_OL_POL_DB_01_SearchPolicyByCustomerId,1047,943,581,11001,591.76,0.000%,.29092,0.70,0.16,2452.6
01_Consumer Finance_CSA-09 (LoginPIN),722,113,44,1172,83.34,0.000%,.20109,0.12,0.14,609.0
05_OL_POL_DB_03_NextPayPeriod,6273,413,224,11489,265.45,0.000%,1.74477,2.32,1.43,1361.4
0_Member Profile_CSA-09 (LoginPIN),1046,128,44,5651,270.18,0.000%,.29140,0.17,0.20,609.0
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,925,1198,631,10089,830.47,0.000%,.36676,0.67,0.21,1862.3
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],925,99,39,6608,293.52,0.000%,.36687,0.43,0.21,1191.0
1_Member Profile_MEMBER01 [SearchProfileByCustomerId],1046,101,40,5004,197.67,0.000%,.29129,0.44,0.17,1563.9
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,925,368,16,3940,389.91,0.000%,.36624,0.47,0.23,1324.4
05_Credit Life_POL_DB_03_NextPayPeriod,925,12,2,4530,149.30,0.000%,.36626,0.42,0.30,1185.2
06_Unitlink_POL_DB_05_GetRiderDetial,233,156,35,499,80.39,0.000%,.82385,0.94,0.54,1170.5
06_OL_POL_DB_05_GetRiderDetial,6269,259,28,10200,275.70,0.000%,1.74452,3.69,1.14,2165.1
