Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
token Authorization Bearer,1,25,25,25,0.00,0.000%,40.00000,22.81,16.25,584.0
OL_CSA-07 (LoginCsa),5322,956,682,9132,546.04,0.000%,1.47738,1.20,1.18,833.3
CSA-07 (LoginCsa),11907,945,21,9453,494.19,0.000%,3.30507,2.69,2.64,834.3
CUS-01_SearchByCustomerName,474,9993,1675,20880,4686.07,0.000%,.13153,2.30,0.10,17876.3
OL_CSA-08 (SetPincode),5318,110,35,6823,207.59,0.000%,1.47725,0.88,0.93,609.0
CSA-08 (SetPincode),11896,95,9,6832,169.79,0.000%,3.30482,1.97,2.26,609.0
01_OL_CSA-09 (LoginPIN),5314,140,44,7483,188.99,0.000%,1.47643,0.88,0.93,609.0
01_Universal Life_CSA-09 (LoginPIN),6081,140,14,7992,202.20,0.000%,1.69035,1.01,1.15,609.1
01_Unitlink_CSA-09 (LoginPIN),3122,140,49,7896,221.73,0.000%,.86826,0.52,0.59,609.0
01_Credit Life_CSA-09 (LoginPIN),1190,155,50,7690,334.06,0.000%,.33151,0.20,0.23,609.0
CUS-02_SearchCustomerByCitizenId,472,685,9,4288,266.21,0.000%,.13133,0.24,0.10,1834.0
01_Consumer Finance_CSA-09 (LoginPIN),607,141,48,2019,150.35,0.000%,.16923,0.10,0.12,609.0
02_OL_POL_DB_01_SearchPolicyByCustomerId,5312,1192,585,21559,1225.11,0.000%,1.47655,3.10,0.83,2150.2
_OL_POL_DB_01_SearchPolicyByCustomerId,890,1247,610,13921,1028.21,0.000%,.24755,0.60,0.14,2498.0
03_MEMBER01 [SearchProfileByCustomerId],5307,153,47,8172,253.37,0.000%,1.47701,1.72,0.84,1193.9
04_OL_POL_DB_02_01_PolicyDetailsOL,5302,175,8,8368,324.25,0.000%,1.47564,1.95,0.86,1350.1
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,607,1373,677,28299,1359.99,0.000%,.16896,0.35,0.10,2101.6
CUS-03_SearchByPartyId,472,673,567,3034,156.94,0.000%,.13129,0.24,0.09,1860.5
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],606,128,53,861,76.31,0.000%,.16905,0.20,0.10,1193.3
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,6075,1570,2,36061,1956.58,0.082%,1.68903,6.02,0.95,3652.1
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,3121,1671,599,25858,1628.56,0.000%,.86790,3.65,0.49,4304.7
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,606,310,13,3079,294.59,0.000%,.16897,0.20,0.10,1239.1
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,1189,1426,679,10578,845.71,0.000%,.33111,0.61,0.19,1876.7
05_Consumer Finance_POL_DB_03_NextPayPeriod,606,98,3,5944,321.88,0.000%,.16899,0.21,0.14,1253.5
0_Member Profile_CSA-09 (LoginPIN),890,126,49,909,86.67,0.000%,.24802,0.15,0.17,609.0
06_Consumer Finance_POL_DB_05_GetRiderDetial,606,303,33,6556,292.83,0.000%,.16898,0.36,0.11,2179.1
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],6071,243,5,7429,272.52,0.000%,1.69058,1.97,0.96,1195.8
1_Member Profile_MEMBER01 [SearchProfileByCustomerId],890,150,55,1127,128.09,0.000%,.24801,0.39,0.14,1608.0
05_OL_POL_DB_03_NextPayPeriod,5298,408,226,7591,174.44,0.000%,1.47502,1.97,1.21,1364.3
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],3118,264,51,1650,250.10,0.000%,.86832,1.02,0.49,1198.3
