Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
token Authorization Bearer,1,44,44,44,0.00,0.000%,22.72727,12.96,9.23,584.0
CSA-07 (LoginCsa),10752,5008,0,243009,26914.17,10.621%,1.11095,0.88,0.89,808.5
2_OL_POL_DB_01_SearchPolicyByCustomerId,6153,2578,1,45043,8469.65,18.479%,.64080,1.23,0.36,1971.9
OL_CSA-07 (LoginCsa),6489,5056,0,253010,26406.14,10.140%,.67271,0.53,0.54,808.5
CSA-08 (SetPincode),10743,3684,0,273041,26220.63,9.690%,1.11936,0.67,0.76,617.2
10_OL_POL_DB_04_GetLoanPremum,6148,4209,1,75015,12933.69,18.526%,.63837,0.65,0.42,1046.6
OL_CSA-08 (SetPincode),6483,3212,1,271018,22925.85,10.628%,.67554,0.40,0.42,613.7
01_OL_CSA-09 (LoginPIN),6483,2478,0,250016,19230.66,9.872%,.67510,0.41,0.42,614.6
CUS-01_SearchByCustomerName,233,21840,2,241005,40584.12,9.013%,.02433,0.46,0.02,19250.4
01_Universal Life_CSA-09 (LoginPIN),5787,3837,0,240052,26165.63,11.025%,.59601,0.36,0.41,617.8
02_OL_POL_DB_01_SearchPolicyByCustomerId,6477,2045,1,44975,7039.16,17.693%,.67365,1.30,0.38,1980.8
CUS-02_SearchCustomerByCitizenId,233,9416,2,241004,40730.43,6.867%,.02399,0.04,0.02,1741.6
03_MEMBER01 [SearchProfileByCustomerId],6472,1369,2,45005,7100.62,3.477%,.67428,0.74,0.38,1116.9
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,5779,2391,1,44977,7813.37,18.636%,.60201,1.86,0.34,3162.7
04_OL_POL_DB_02_01_PolicyDetailsOL,6461,1220,1,45004,6775.89,17.598%,.67314,0.87,0.39,1327.7
05_OL_POL_DB_03_NextPayPeriod,6456,1913,1,75016,9400.98,17.596%,.67239,0.80,0.55,1220.8
01_Unitlink_CSA-09 (LoginPIN),2887,3822,1,250015,26726.35,9.699%,.30070,0.18,0.20,616.4
_OL_POL_DB_01_SearchPolicyByCustomerId,542,2462,1,43399,7891.54,21.218%,.05647,0.14,0.03,2479.8
0_Member Profile_CSA-09 (LoginPIN),540,4706,1,240016,27944.47,11.296%,.05654,0.03,0.04,618.1
1_Member Profile_MEMBER01 [SearchProfileByCustomerId],540,2231,20,44996,8848.47,5.926%,.05653,0.06,0.03,1150.3
06_OL_POL_DB_05_GetRiderDetial,6449,1453,1,45011,7141.89,17.600%,.67192,0.70,0.44,1070.3
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],5776,1808,2,45010,8199.23,4.553%,.60188,0.65,0.34,1112.7
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,5770,1430,1,45008,7399.10,18.666%,.60126,0.78,0.35,1321.5
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,2886,2251,1,44960,7372.45,17.464%,.30070,1.10,0.17,3757.2
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],2885,1982,2,45011,8587.55,4.957%,.30063,0.33,0.17,1116.0
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,2882,1662,1,45010,7931.57,17.523%,.30032,0.42,0.18,1420.5
05_Universal Life_POL_DB_03_NextPayPeriod,5769,2668,1,75019,11385.03,18.686%,.60091,0.65,0.49,1115.3
06_Universal Life_POL_DB_05_GetRiderDetial,5763,1791,1,45033,8027.71,18.810%,.60056,0.52,0.39,888.3
05_Unitlink_POL_DB_03_NextPayPeriod,2880,2432,1,75019,11038.10,17.535%,.29999,0.33,0.25,1122.4
07_Universal Life_POL_DB_03_NextPayPeriod,5760,2661,1,75014,11350.95,18.785%,.60001,0.65,0.49,1115.2
01_Credit Life_CSA-09 (LoginPIN),981,4269,0,240027,27265.34,11.009%,.10210,0.06,0.07,618.2
01_Consumer Finance_CSA-09 (LoginPIN),546,2978,1,240019,23409.29,8.242%,.05741,0.03,0.04,618.8
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,546,2621,1,44653,8254.95,17.949%,.05718,0.11,0.03,1937.6
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],546,2051,2,45009,8588.56,5.311%,.05691,0.06,0.03,1103.0
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,978,2646,1,44828,8412.14,19.632%,.10194,0.17,0.06,1742.4
CUS-03_SearchByPartyId,231,7609,613,240050,36644.55,4.762%,.02419,0.04,0.02,1812.2
07_OL_POL_DB_03_NextPayPeriod,6443,2007,1,75013,9675.54,17.600%,.67146,0.79,0.55,1211.8
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],977,2070,2,45002,8677.64,5.322%,.10192,0.11,0.06,1099.9
06_Unitlink_POL_DB_05_GetRiderDetial,2879,1798,1,45008,8078.10,17.610%,.30017,0.27,0.20,907.2
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,977,1456,1,45001,7392.39,19.550%,.10191,0.13,0.06,1297.7
07_Unitlink_POL_DB_03_NextPayPeriod,2876,2781,1,75010,11737.53,17.594%,.29975,0.32,0.25,1109.5
08_Unitlink_POL_DB_11_GetPaymentHistory,2870,2059,1,45017,7926.61,17.526%,.29925,1.20,0.20,4104.5
08_OL_POL_DB_11_GetPaymentHistory,6437,2444,1,45007,6821.39,17.555%,.67114,1.42,0.44,2162.4
08_Universal Life_POL_DB_11_GetPaymentHistory,5754,1739,1,45015,7570.05,18.770%,.60011,1.33,0.39,2264.4
CUS-20_searchCustomer,231,9848,4925,11403,1357.62,0.000%,.02416,0.06,0.02,2471.3
09_Universal Life_POL_DB_04_GetLoanPremum,5751,4113,1,75009,13235.65,19.666%,.59961,0.55,0.39,943.5
2_Member Profile_MEMBER02 [SearchMonthlyIncome],540,1577,9,45005,7605.48,4.074%,.05634,0.06,0.03,1176.6
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,5740,1497,1,45015,7387.26,18.693%,.59878,0.61,0.39,1045.1
3_Member Profile_MEMBER03 [SearchFavoriteActivity],539,1348,9,45003,7227.82,3.340%,.05623,0.08,0.03,1432.0
09_OL_POL_DB_07_GetDividendInfo,6430,2061,1,75017,10411.82,17.558%,.67077,1.01,0.44,1545.6
11_OL_POL_DB_10_GetBeneficiaryInfo,6425,1410,1,45013,7196.18,17.572%,.66938,0.69,0.44,1056.0
11_Universal Life_POL_DB_12_GetCoverageOverview,5737,2517,1,75018,11559.60,18.930%,.59861,0.50,0.34,854.8
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,545,1722,1,45000,8106.88,17.798%,.05688,0.07,0.03,1250.0
05_Consumer Finance_POL_DB_03_NextPayPeriod,543,2710,1,75006,11704.20,17.680%,.05666,0.07,0.05,1240.8
06_Consumer Finance_POL_DB_05_GetRiderDetial,542,1727,1,45002,7852.50,17.712%,.05684,0.06,0.04,1120.9
CUS-21_SearchByCustomerRef,231,133,77,472,41.49,0.000%,.02419,0.03,0.01,1395.7
4_Member Profile_MEMBER04 [SearchHospitalRegularly],538,1740,15,45004,8000.49,4.461%,.05616,1.62,0.03,29585.7
5_Member Profile_MEMBER05 [SearchEmergencyContact],537,1859,9,45003,8258.07,4.842%,.05605,0.03,0.03,632.7
6_Member Profile_MEMBER07 [UpdateCustomer],536,1958,9,45005,8522.45,4.851%,.05620,0.03,0.04,630.6
7_Member Profile_MEMBER08 [UpdateMonthlyIncome],536,2155,11,44999,8976.29,5.410%,.05595,0.03,0.12,631.3
12_OL_POL_DB_12_GetCoverageOverview,6423,2733,1,75010,10088.10,17.702%,.67006,0.73,0.37,1122.3
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,2868,1781,1,45005,8094.41,17.503%,.29946,0.31,0.20,1046.2
13_OL_POLICY_DB_14 [SearchConsent],6420,3520,0,253031,24779.51,17.664%,.66330,0.76,0.37,1165.7
14_OL_POLICY_DB_15 [InsertConsent],6419,5058,1,240042,26726.23,17.697%,.66600,0.52,0.62,801.2
05_Credit Life_POL_DB_03_NextPayPeriod,977,2971,1,75005,12589.71,19.550%,.10202,0.12,0.08,1183.2
15_OL_POLICY_DB_16 [ListPolicyDue],6412,5487,0,240043,27928.20,17.857%,.66578,0.55,0.37,843.1
07_Consumer Finance_POL_DB_03_NextPayPeriod,542,2543,1,75004,11710.85,17.712%,.05689,0.07,0.05,1246.7
10_Unitlink_POL_DB_13_GetCurrentAVInfo,2862,2511,1,45031,7814.10,17.400%,.29900,0.37,0.20,1260.2
11_Unitlink_POL_DB_12_GetCoverageOverview,2861,2427,1,75018,11514.14,17.511%,.29884,0.25,0.17,847.3
CUS-22_DisplayPolicyList,231,14909,626,120007,38001.11,8.658%,.02392,0.03,0.01,1407.5
CUS-23_receiptDetail,229,96706,22,120009,47168.14,77.293%,.02377,0.02,0.02,862.6
08_Consumer Finance_POL_DB_11_GetPaymentHistory,542,2775,1,45003,8690.76,36.900%,.05663,0.14,0.04,2523.2
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,541,1908,1,45030,8454.96,17.560%,.05733,0.06,0.04,1141.9
06_Credit Life_POL_DB_05_GetRiderDetial,975,2107,1,45005,8553.28,19.487%,.10196,0.11,0.07,1066.8
07_Credit Life_POL_DB_03_NextPayPeriod,974,2578,1,75008,11994.96,19.610%,.10192,0.12,0.08,1193.6
8_Member Profile_MEMBER09 [UpdateFavoriteActivity],534,1758,10,45002,8084.68,4.494%,.05618,0.03,0.11,623.1
9_Member Profile_MEMBER10 [UpdateHospitalRegularly],534,1913,13,45008,8548.90,4.682%,.05618,0.03,0.06,624.8
10_Member Profile_MEMBER11 [UpdateEmergencyContact],534,1666,10,45027,7982.32,4.120%,.05618,0.03,0.05,623.4
11_Member Profile_MEMBER13 [LookupRelationship],534,1795,9,45000,8106.67,4.682%,.05610,0.11,0.03,2087.6
