applicationid,agentid
41497,0000632152
36131,0000632152
41272,0000632152
36234,0000632152
37761,0000632152
37202,0000632152
39101,0000632152
00033334,0000632152
00033146,0000632152
40341,0000632152
39499,0000632152
38250,0000632152
40930,0000632152
48824,0000591523
48820,0000591523
48807,0000541074
48806,0000541074
48805,0000000819
48803,0000541074
48799,0000704375
48794,0000000162
48785,0000000162
48791,0000000162
48792,0000004522
48788,0000004522
48789,0000017639
48782,0000000819
48781,0000657361
48780,0000337497
48779,0000027292
48778,0000093842
48777,0000632550
48776,0000006921
48775,0000012552
48774,0000550175
48773,0000564143
48772,0000617286
48771,0000560498
48770,0000531336
48769,0000628351
48768,0000618092
48766,0000637425
48767,0000195560
48765,0000653699
48764,0000626671
48762,0000521318
48761,0000003868
48763,0000019731
48759,0000164149
48760,0000635982
48756,0000063555
48758,0000657243
48754,0000694128
48755,0000631481
48757,0000005057
48753,0000015545
48752,0000108027
48751,0000221584
48750,0000485065
48748,0000658348
48747,0000508962
48749,0000632628
48745,0000628055
48746,0000656809
48744,0000528551
48743,0000573403
48742,0000017627
48741,0000661322
44077,0000643479
44292,0000643479
44376,0000643479
44485,0000643479
44676,0000643479
44965,0000643479
45035,0000643479
45157,0000643479
45270,0000643479
45839,0000643479
45422,0000643479
44762,0000643479
46128,0000643479
46387,0000643479
46492,0000643479
46583,0000643479
46624,0000643479
46689,0000643479
42316,0000643479
47261,0000643479
47359,0000643479
47537,0000643479
47936,0000643479
47086,0000643479
45345,0000643479
45906,0000643479
45640,0000643479
45535,0000643479
45228,0000643479
48530,0000643479
44874,0000643479
47756,0000643479
46887,0000643479
48246,0000643479
48443,0000643479
48740,0000643479
48739,0000550124
48737,0000072616
48738,0000016423
48736,0000642039
48735,0000617126
48734,0000337497
44093,0000003891
44282,0000003891
44389,0000003891
44462,0000003891
44555,0000003891
44686,0000003891
44763,0000003891
44883,0000003891
44958,0000003891
45051,0000003891
45206,0000003891
45242,0000003891
45328,0000003891
45448,0000003891
45539,0000003891
45636,0000003891
45740,0000003891
45819,0000003891
45933,0000003891
46022,0000003891
46106,0000003891
46209,0000003891
46289,0000003891
46504,0000003891
46677,0000003891
46782,0000003891
46984,0000003891
47073,0000003891
47263,0000003891
47352,0000003891
47462,0000003891
47536,0000003891
47660,0000003891
47755,0000003891
47792,0000003891
47931,0000003891
48049,0000003891
48167,0000003891
48218,0000003891
48317,0000003891
48520,0000003891
48733,0000003891
43174,0000501190
44108,0000501190
44201,0000501190
44289,0000501190
44390,0000501190
44587,0000501190
44683,0000501190
44853,0000501190
45049,0000501190
45348,0000501190
45441,0000501190
45516,0000501190
45554,0000501190
45737,0000501190
46101,0000501190
46297,0000501190
46595,0000501190
47060,0000501190
47222,0000501190
46872,0000501190
47365,0000501190
47456,0000501190
47850,0000501190
45803,0000501190
47933,0000501190
48140,0000501190
44962,0000501190
44816,0000501190
48247,0000501190
48340,0000501190
48431,0000501190
48461,0000501190
46027,0000501190
42980,0000002767
43366,0000002767
44304,0000002767
44388,0000002767
44488,0000002767
44560,0000002767
45262,0000002767
45350,0000002767
45833,0000002767
46031,0000002767
44951,0000002767
46411,0000002767
46584,0000002767
48731,0000501190
46697,0000002767
46777,0000002767
46980,0000002767
47084,0000002767
47469,0000002767
47368,0000002767
47662,0000002767
45638,0000002767
42502,0000002767
44524,0000002767
46218,0000002767
45055,0000002767
42222,0000002767
48125,0000002767
45534,0000002767
48336,0000002767
48053,0000002767
45137,0000002767
47739,0000002767
48525,0000002767
46300,0000002767
48732,0000002767
48730,0000160267
48727,0000618245
48728,0000015036
42070,0000102824
42072,0000102824
43078,0000102824
43367,0000102824
43459,0000102824
44306,0000102824
44482,0000102824
44589,0000102824
44966,0000102824
45052,0000102824
45357,0000102824
45427,0000102824
45515,0000102824
45731,0000102824
45911,0000102824
46307,0000102824
46398,0000102824
46601,0000102824
46739,0000102824
46895,0000102824
44534,0000102824
46978,0000102824
47278,0000102824
44751,0000102824
44392,0000102824
47460,0000102824
47667,0000102824
45129,0000102824
47747,0000102824
47837,0000102824
46206,0000102824
47374,0000102824
48121,0000102824
48223,0000102824
48335,0000102824
48423,0000102824
48505,0000102824
45996,0000102824
48726,0000626786
48729,0000102824
48725,0000071407
48724,0000657243
48723,0000016407
48722,0000014709
48721,0000490263
48720,0000135063
48717,0000000172
48718,0000632488
48716,0000596752
48719,0000485065
44087,0000531663
44196,0000531663
44303,0000531663
44767,0000531663
44971,0000531663
45150,0000531663
45250,0000531663
45342,0000531663
45417,0000531663
46014,0000531663
46205,0000531663
46414,0000531663
46500,0000531663
46576,0000531663
46683,0000531663
46792,0000531663
46886,0000531663
46963,0000531663
47164,0000531663
44347,0000531663
47259,0000531663
47366,0000531663
47439,0000531663
47563,0000531663
47640,0000531663
48715,0000644355
47731,0000531663
47803,0000531663
47852,0000531663
47943,0000531663
48023,0000531663
48123,0000531663
48320,0000531663
45642,0000531663
45076,0000531663
48419,0000531663
48482,0000531663
48519,0000531663
48714,0000531663
48711,0000016628
42059,0000649109
44100,0000649109
44177,0000649109
44366,0000649109
44493,0000649109
44779,0000649109
44952,0000649109
45340,0000649109
45656,0000649109
45725,0000649109
48710,0000489653
45830,0000649109
46214,0000649109
46309,0000649109
46406,0000649109
46499,0000649109
44871,0000649109
44307,0000649109
46865,0000649109
47082,0000649109
47173,0000649109
46987,0000649109
47570,0000649109
45230,0000649109
47746,0000649109
47847,0000649109
47925,0000649109
