applicationid,agentid
42052,0000005664
42045,0000005664
42039,0000004522
42040,0000000819
42042,0000004522
41925,0000000389
00030758,0000001321
00030730,0000001321
00031185,0000001321
41484,0000000344
42036,0000694868
42033,0000019704
36499,0000694868
36725,0000694868
36796,0000694868
36617,0000694868
39767,0000694868
39861,0000694868
39949,0000694868
40078,0000694868
40165,0000694868
40550,0000694868
34370,0000694868
42030,0000000389
34768,0000573996
34372,0000573996
41664,0000000389
36709,0000618245
36714,0000560498
36717,0000596752
36721,0000188924
36728,0000610627
36734,0000195464
36786,0000653726
36793,0000618245
36792,0000596752
36798,0000651735
36797,0000531663
36804,0000014709
36803,0000624345
36811,0000636549
36818,0000195464
36826,0000610627
36830,0000581453
36828,0000003891
36831,0000535956
36865,0000596752
36916,0000596752
36919,0000653726
36927,0000531663
36932,0000560498
36608,0000014709
36506,0000014709
40048,0000014709
40376,0000014709
39941,0000014709
40574,0000014709
00031183,0000014709
40260,0000610627
40262,0000581453
40266,0000016628
40269,0000618245
40272,0000531663
40278,0000560498
40330,0000596752
40337,0000195464
40334,0000188924
40347,0000531315
40344,0000651735
40357,0000636549
40362,0000618245
40367,0000610627
40372,0000531663
40370,0000653726
