"applicationid","applicationno","agentid","updatedate"
"41497","620000025","0000632152","2019-07-12 11:50:45.974"
"36131","610010881","0000632152","2019-07-12 09:59:42.834"
"41272","610016088","0000632152","2019-07-12 09:59:42.832"
"36234","610010986","0000632152","2019-07-12 09:59:42.831"
"37761","610012507","0000632152","2019-07-12 09:59:42.829"
"37202","610011956","0000632152","2019-07-12 09:59:42.827"
"39101","610013883","0000632152","2019-07-12 09:59:42.821"
"00033334","610007923","0000632152","2019-07-12 09:59:42.767"
"00033146","610007712","0000632152","2019-07-12 09:59:42.766"
"40341","610015130","0000632152","2019-07-12 09:59:42.764"
"39499","610014284","0000632152","2019-07-12 09:59:42.762"
"38250","610013010","0000632152","2019-07-12 09:59:42.76"
"40930","610015716","0000632152","2019-07-12 09:59:42.755"
"48824","256200000162","0000591523","2019-07-08 11:23:27.385"
"48820","620007523","0000591523","2019-07-04 09:51:41.177"
"48807","256200000150","0000541074","2019-07-02 16:53:16.487"
"48806","256200000149","0000541074","2019-07-02 16:49:28.385"
"48805","256200000148","0000000819","2019-07-02 16:47:35.122"
"48803","256200000146","0000541074","2019-07-02 16:35:06.77"
"48799","620007511","0000704375","2019-06-28 16:31:50.412"
"48794","256200000137","0000000162","2019-06-28 15:53:13.771"
"48785","256200000132","0000000162","2019-06-28 15:38:05.56"
"48791","256200000136","0000000162","2019-06-28 15:37:14.451"
"48792","620007502","0000004522","2019-06-28 15:20:57.693"
"48788","620007501","0000004522","2019-06-28 15:11:40.605"
"48789","256200000133","0000017639","2019-06-28 15:11:35.327"
"48782","256200000128","0000000819","2019-06-18 11:59:16.779"
"48781","620007490","0000657361","2019-06-17 19:30:41.123"
"48780","620007489","0000337497","2019-06-17 19:30:32.15"
"48779","620007488","0000027292","2019-06-17 19:30:03.086"
"48778","620007486","0000093842","2019-06-17 19:30:02.594"
"48777","620007487","0000632550","2019-06-17 19:29:56.335"
"48776","620007485","0000006921","2019-06-17 19:28:27.732"
"48775","620007484","0000012552","2019-06-17 19:27:55.14"
"48774","620007483","0000550175","2019-06-17 19:27:19.727"
"48773","620007482","0000564143","2019-06-17 19:26:53.908"
"48772","620007481","0000617286","2019-06-17 19:26:30.189"
"48771","620007480","0000560498","2019-06-17 19:26:27.675"
"48770","620007472","0000531336","2019-06-17 19:26:14.755"
"48769","620007479","0000628351","2019-06-17 19:26:14.005"
"48768","620007478","0000618092","2019-06-17 19:26:13.448"
"48766","620007475","0000637425","2019-06-17 19:26:10.572"
"48767","620007477","0000195560","2019-06-17 19:26:09.066"
"48765","620007476","0000653699","2019-06-17 19:26:08.217"
"48764","620007474","0000626671","2019-06-17 19:26:06.336"
"48762","620007471","0000521318","2019-06-17 19:26:04.794"
"48761","620007464","0000003868","2019-06-17 19:26:03.103"
"48763","620007473","0000019731","2019-06-17 19:26:01.345"
"48759","620007469","0000164149","2019-06-17 19:26:00.084"
"48760","620007462","0000635982","2019-06-17 19:25:59.665"
"48756","620007468","0000063555","2019-06-17 19:25:57.03"
"48758","620007470","0000657243","2019-06-17 19:25:56.247"
"48754","620007463","0000694128","2019-06-17 19:25:54.999"
"48755","620007465","0000631481","2019-06-17 19:25:54.862"
"48757","620007466","0000005057","2019-06-17 19:25:54.812"
"48753","620007461","0000015545","2019-06-17 19:25:51.74"
"48752","620007458","0000108027","2019-06-17 19:25:47.949"
"48751","620007460","0000221584","2019-06-17 19:25:44.825"
"48750","620007459","0000485065","2019-06-17 19:25:37.671"
"48748","620007454","0000658348","2019-06-17 19:25:36.225"
"48747","620007456","0000508962","2019-06-17 19:25:35.915"
