applicationid,agentid
42044,0000000819
42043,0000000819
42041,0000000819
42037,0000000819
42038,0000004522
42032,0000000819
42034,0000004522
42035,0000000819
42031,0000004522
42029,0000000819
42014,0000000819
42018,0000000819
41985,0000000819
42024,0000004522
42012,0000004522
42010,0000004522
42019,0000004522
42004,0000004522
42003,0000004522
42016,0000004522
42009,0000004522
42013,0000004522
42011,0000000819
42008,0000004522
42006,0000000819
41992,0000004522
41989,0000004522
42005,0000004522
42052,0000005664
42045,0000005664
42039,0000004522
42040,0000000819
42042,0000004522
41925,0000000389
00030758,0000001321
00030730,0000001321
00031185,0000001321
41484,0000000344
42036,0000694868
42033,0000019704
36499,0000694868
36725,0000694868
36796,0000694868
36617,0000694868
39767,0000694868
39861,0000694868
39949,0000694868
40078,0000694868
40165,0000694868
40550,0000694868
34370,0000694868
42030,0000000389
41999,0000000819
42000,0000004522
41998,0000004522
41997,0000000819
41959,0000004522
41996,0000004522
41995,0000000819
41994,0000004522
41960,0000004522
41993,0000004522
41988,0000004522
41957,0000000819
41978,0000000819
41991,0000000819
41984,0000004522
41946,0000000819
41967,0000004522
41947,0000004522
41971,0000004522
41972,0000004522
34768,0000573996
34372,0000573996
41664,0000000389
36709,0000618245
36714,0000560498
36717,0000596752
36721,0000188924
36728,0000610627
36734,0000195464
36786,0000653726
36793,0000618245
36792,0000596752
36798,0000651735
36797,0000531663
36804,0000014709
36803,0000624345
36811,0000636549
36818,0000195464
36826,0000610627
36830,0000581453
41977,0000004522
41982,0000000819
41954,0000004522
41948,0000164646
41950,0000164646
41969,0000000819
41970,0000000819
41973,0000000819
41966,0000000819
41962,0000000819
41965,0000004522
41952,0000004522
41953,0000000819
41951,0000004522
41945,0000164646
41949,0000000819
36828,0000003891
36831,0000535956
36865,0000596752
36916,0000596752
36919,0000653726
36927,0000531663
36932,0000560498
36608,0000014709
36506,0000014709
40048,0000014709
40376,0000014709
39941,0000014709
40574,0000014709
00031183,0000014709
40260,0000610627
40262,0000581453
40266,0000016628
40269,0000618245
40272,0000531663
40278,0000560498
40330,0000596752
40337,0000195464
40334,0000188924
40347,0000531315
40344,0000651735
40357,0000636549
40362,0000618245
40367,0000610627
40372,0000531663
40370,0000653726
