applicationid,applicationno,agentid
00030246,610000360,0000557777
42109,620000698,0000531315
42205,620000799,0000531315
42337,620000932,0000531315
42395,620000995,0000531315
42283,620000876,0000531315
42575,620001178,0000531315
42667,620001271,0000531315
42753,620001358,0000531315
42813,620001419,0000531315
42850,620001461,0000531315
42955,620001564,0000531315
43061,620001671,0000531315
43172,620001782,0000531315
43253,620001872,0000531315
43425,620002049,0000531315
43613,620002242,0000531315
43728,620002357,0000531315
42090,620000683,0000581453
42289,620000889,0000581453
42468,620001069,0000581453
42367,620000965,0000581453
42788,620001395,0000581453
42973,620001586,0000581453
43119,620001732,0000581453
43154,620001776,0000581453
43234,620001854,0000581453
43360,620001983,0000581453
43546,620002175,0000581453
43644,620002273,0000581453
00031244,610005398,0000155726
00031179,610005338,0000016407
00030817,610003518,0000617126
00030674,610002404,0000617126
00031189,610005350,0000617126
00030823,610003599,0000617126
00030650,610002219,0000617126
00031250,610005433,0000617126
41415,610016234,0000098610
00031309,610005520,0000098610
41271,610016092,0000098610
00031404,610005613,0000098610
00031502,610005699,0000098610
00032715,610007233,0000098610
00031611,610005880,0000098610
00031796,610006109,0000098610
00032003,610006336,0000098610
00032070,610006421,0000098610
00032285,610006761,0000098610
00032919,610007467,0000098610
00032309,610006789,0000098610
00032439,610006940,0000098610
00032518,610007025,0000098610
00032596,610007115,0000098610
34650,610009380,0000098610
00033101,610007668,0000098610
35381,610010122,0000098610
00033325,610007907,0000098610
41320,610016138,0000098610
34882,610009614,0000098610
35475,610010211,0000098610
00033642,610008222,0000098610
00033708,610008312,0000098610
35757,610010491,0000098610
34975,610009717,0000098610
00033852,610008462,0000098610
35082,610009812,0000098610
35557,610010313,0000098610
34086,610008814,0000098610
34275,610009024,0000098610
35262,610010025,0000098610
35876,610010617,0000098610
41362,610016187,0000098610
35929,610010671,0000098610
36135,610010884,0000098610
36199,610010950,0000098610
36325,610011069,0000098610
36512,610011262,0000098610
36624,610011372,0000098610
39059,610013845,0000098610
37021,610011769,0000098610
39116,610013899,0000098610
37284,610012041,0000098610
37378,610012130,0000098610
37643,610012408,0000098610
39198,610013985,0000098610
37952,610012710,0000098610
38076,610012833,0000098610
38268,610013028,0000098610
38509,610013262,0000098610
38590,610013348,0000098610
38699,610013458,0000098610
39390,610014174,0000098610
39737,610014521,0000098610
39856,610014635,0000098610
39969,610014753,0000098610
40361,610015142,0000098610
40408,610015195,0000098610
40549,610015334,0000098610
40748,610015533,0000098610
40915,610015706,0000098610
41031,610015816,0000098610
41204,610016011,0000098610
35675,610010414,0000098610
34676,610009421,0000098610
00033454,610008037,0000098610
38977,610013784,0000098610
36439,610011192,0000098610
36702,610011465,0000098610
37207,610011963,0000098610
37587,610012344,0000098610
37750,610012520,0000098610
38402,610013176,0000098610
39571,610014367,0000098610
40177,610014963,0000098610
40850,610015640,0000098610
00031121,610005280,0000098610
00030694,610002523,0000098610
00030752,610003273,0000098610
00031221,610005397,0000098610
00030764,610003325,0000628055
00031279,610005477,0000628055
00030715,610002829,0000628055
00030821,610003528,0000016970
00031152,610005315,0000016970
00030704,610002600,0000016970
00030779,610003340,0000016970
00030697,610002535,0000016970
00031261,610005455,0000016970
00031280,610005467,0000015545
00030699,610002545,0000015545
00030677,610002447,0000015545
00030706,610002732,0000015545
00031140,610005298,0000015545
00031214,610005374,0000015545
00031174,610005327,0000618092
00030636,610002105,0000618092
00030651,610002233,0000618092
00030727,610002999,0000012552
00030798,610003419,0000012552
00031273,610005474,0000012552
00031166,610005318,0000012552
00030693,610002524,0000012552
00030661,610002244,0000012552
