"applicationid","agentid"
"42044","0000000819"
"42043","0000000819"
"42041","0000000819"
"42037","0000000819"
"42038","0000004522"
"42032","0000000819"
"42034","0000004522"
"42035","0000000819"
"42031","0000004522"
"42029","0000000819"
"42014","0000000819"
"42018","0000000819"
"41985","0000000819"
"42024","0000004522"
"42012","0000004522"
"42010","0000004522"
"42019","0000004522"
"42004","0000004522"
"42003","0000004522"
"42016","0000004522"
"42009","0000004522"
"42001","0000000819"
"42002","0000000819"
"42013","0000004522"
"42011","0000000819"
"42008","0000004522"
"42006","0000000819"
"41992","0000004522"
"41989","0000004522"
"42005","0000004522"
"41999","0000000819"
"42000","0000004522"
"41990","0000004522"
"41998","0000004522"
"41997","0000000819"
"41959","0000004522"
"41996","0000004522"
"41995","0000000819"
"41994","0000004522"
"41960","0000004522"
"41993","0000004522"
"41988","0000004522"
"41957","0000000819"
"41978","0000000819"
"41991","0000000819"
"41984","0000004522"
"41946","0000000819"
"41967","0000004522"
"41947","0000004522"
"41971","0000004522"
"41972","0000004522"
"41977","0000004522"
"41982","0000000819"
"41954","0000004522"
"41948","0000164646"
"41950","0000164646"
"41969","0000000819"
"41970","0000000819"
"41973","0000000819"
"41966","0000000819"
"41962","0000000819"
"41965","0000004522"
"41952","0000004522"
"41953","0000000819"
"41951","0000004522"
"41945","0000164646"
"41949","0000000819"
