,applicationid,applicationno,agentid,updatedate,
,46558,620005234,0000521318,2019-06-15 23:55:52.078,x
,46557,620005236,0000093842,2019-06-15 23:55:50.35,x
,46555,620005233,0000528551,2019-06-15 23:55:42.883,x
,46556,620005235,0000694128,2019-06-15 23:55:41.067,x
,46554,620005232,0000164149,2019-06-15 23:54:45.956,x
,46553,620005231,0000573403,2019-06-15 23:53:41.047,x
,46552,620005230,0000656809,2019-06-15 23:53:27.371,x
,46551,620005229,0000632628,2019-06-15 23:53:15.92,x
,46550,620005228,0000012552,2019-06-15 23:53:14.369,x
,46549,620005227,0000016764,2019-06-15 23:52:59.887,
,46547,620005225,0000642039,2019-06-15 23:52:33.447,
,46546,620005224,0000628351,2019-06-15 23:52:23.397,
,46544,620005222,0000195560,2019-06-15 23:52:19.055,
,46542,620005218,0000658348,2019-06-15 23:52:18.586,
,46543,620005219,0000653699,2019-06-15 23:52:18.57,
,46541,620005221,0000019731,2019-06-15 23:52:17.169,
,46545,620005223,0000531336,2019-06-15 23:52:16.691,
,46540,620005217,0000564143,2019-06-15 23:52:14.51,
,46539,620005216,0000006921,2019-06-15 23:52:12.196,
,46538,620005215,0000618092,2019-06-15 23:52:10.831,
,46536,620005213,0000072616,2019-06-15 23:52:08.51,
,46535,620005212,0000617286,2019-06-15 23:52:06.534,
,46533,620005210,0000657361,2019-06-15 23:52:04.512,
,46534,620005211,0000027292,2019-06-15 23:52:04.447,
,46529,620005206,0000016423,2019-06-15 23:52:00.1,
,46531,620005200,0000635982,2019-06-15 23:52:00.087,
,46530,620005205,0000637425,2019-06-15 23:51:58.389,
,46532,620005209,0000015545,2019-06-15 23:51:56.719,
,46526,620005203,0000661322,2019-06-15 23:51:54.977,
,46527,620005207,0000617126,2019-06-15 23:51:53.944,
,46522,620005199,0000337497,2019-06-15 23:51:50.566,
,46524,620005201,0000063555,2019-06-15 23:51:48.139,
,46523,620005202,0000550175,2019-06-15 23:51:47.821,
,46521,620005196,0000003868,2019-06-15 23:51:40.702,
,46520,620005195,0000628055,2019-06-15 23:51:40.613,
,46519,620005197,0000631481,2019-06-15 23:51:36.277,
,46518,620005194,0000017627,2019-06-15 23:51:34.531,
,46516,620005192,0000221584,2019-06-15 23:51:32.286,
,46517,620005193,0000632550,2019-06-15 23:51:28.646,
,46515,620005191,0000644355,2019-06-15 23:51:18.803,
,46514,620005190,0000508962,2019-06-15 23:50:45.997,
,46513,620005189,0000005057,2019-06-15 23:37:23.788,
,46512,620005188,0000550124,2019-06-15 23:36:32.306,
,46511,620005187,0000108027,2019-06-15 23:30:14.485,
,46484,620005159,0000521318,2019-06-15 23:25:37.41,
,46483,620005158,0000658348,2019-06-15 23:25:35.548,
,46481,620005156,0000657361,2019-06-15 23:25:28.626,
,46462,620005137,0000635982,2019-06-15 22:25:58.348,
,46461,620005136,0000012552,2019-06-15 22:25:57.285,
,46463,620005138,0000631481,2019-06-15 22:25:55.879,
,46460,620005135,0000093842,2019-06-15 22:25:54.626,
,46459,620005134,0000016423,2019-06-15 22:25:32.175,
,46458,620005133,0000063555,2019-06-15 22:24:12.041,
,46457,620005132,0000632628,2019-06-15 22:23:44.321,
,46456,620005131,0000617286,2019-06-15 22:23:20.765,
,46455,620005130,0000531336,2019-06-15 22:23:12.189,
,46454,620005129,0000632550,2019-06-15 22:23:01.239,
,46452,620005115,0000617126,2019-06-15 22:22:29.859,
,46451,620005127,0000016970,2019-06-15 22:22:29.651,
,46450,620005124,0000017627,2019-06-15 22:22:28.573,
,46448,620005119,0000658348,2019-06-15 22:22:25.263,
,46445,620005120,0000550175,2019-06-15 22:22:24.158,
,46447,620005122,0000626671,2019-06-15 22:22:23.814,
,46449,620005126,0000221584,2019-06-15 22:22:23.469,
,46446,620005123,0000072616,2019-06-15 22:22:20.978,
,46443,620005117,0000016764,2019-06-15 22:22:20.792,
