Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
setUp Thread Group PreProd:gettoken,1,168,168,168,0.00,0.000%,5.95238,3.38,3.70,582.0
3) Login Branch			:https://pre-tlproplus-api.thailife.com/token,40,1232,339,1994,367.44,0.000%,15.63722,8.89,8.68,582.0
2) ค้นหารายชื่อ ใบคำขอ:2) ค้นหารายชื่อ ใบคำขอ,58523,2349,107,24887,2056.38,0.482%,16.25398,134.59,12.84,8479.0
6) pmrateService:6.1) SE,9885,1015,98,21686,1443.89,0.172%,2.74527,2.57,2.25,959.6
6) pmrateService:6.2) PJ,9883,552,60,8190,842.25,0.000%,2.74863,2.32,2.29,864.0
6) pmrateService:6.3) NF,9883,525,60,6906,798.37,0.000%,2.74607,2.32,2.28,864.9
5) ค้นหา รพ เครือข่าย:5) ค้นหา รพ เครือข่าย (Search all),32350,3390,516,24895,1782.61,0.451%,8.98773,1085.71,6.25,123698.2
6) pmrateService:6.4) LT01,9882,518,60,8178,801.38,0.000%,2.74592,2.32,2.29,865.9
6) pmrateService:6.5) SF,9878,525,60,8186,819.32,0.000%,2.74527,2.32,2.28,864.9
1) ค้นหาใบเสนอขาย:1) ค้นหาใบเสนอขาย,50657,3563,201,26873,2496.28,1.052%,14.07021,46.71,9.68,3399.3
4) Login Agent users:1_2) Login with Agent users 850 requests ,10,2493,1313,3280,525.09,0.000%,2.97089,5.85,1.94,2014.7
7) ค้นหาโดย ID:7) ค้นหาโดย ID,66633,1307,118,23245,1472.02,0.075%,18.53320,14.75,13.31,815.1
TOTAL,257625,2119,60,26873,2134.79,0.399%,71.44000,1291.21,53.37,18507.8
